logtheta,logtheta500,yt
-15.84873949579832,-5.1923076923076925,2.9941331460323379
-15.84873949579832,-4.884615384615385,3.6972872676478885
-15.84873949579832,-4.5769230769230766,4.3784610462143503
-15.84873949579832,-4.2692307692307692,5.0011635220192057
-15.84873949579832,-3.9615384615384617,5.543512737346294
-15.84873949579832,-3.6538461538461537,5.9981739775426179
-15.84873949579832,-3.3461538461538463,6.368704738353685
-15.84873949579832,-3.0384615384615383,6.6649046451317551
-15.84873949579832,-2.7307692307692308,6.8989262971533565
-15.84873949579832,-2.4230769230769229,7.082761738332418
-15.84873949579832,-2.1153846153846154,7.2269751152201112
-15.84873949579832,-1.8076923076923077,7.3402836866394594
-15.84873949579832,-1.5,7.4296062527720954
-15.84873949579832,-1.1923076923076923,7.5003136198472795
-15.84873949579832,-0.88461538461538458,7.5565294037199795
-15.84873949579832,-0.57692307692307687,7.6014091142674527
-15.84873949579832,-0.26923076923076922,7.6373716701172771
-15.84873949579832,0.038461538461538464,7.666280436441272
-15.84873949579832,0.34615384615384615,7.6895802618516074
-15.84873949579832,0.65384615384615385,7.7083994717795221
-15.84873949579832,0.96153846153846156,7.7236252151385401
-15.84873949579832,1.2692307692307692,7.7359589394750143
-15.84873949579832,1.5769230769230769,7.745956940097467
-15.84873949579832,1.8846153846153846,7.75405962543923
-15.84873949579832,2.1923076923076925,7.7606126820075438
-15.84873949579832,2.5,7.765884309460648
-15.697478991596638,-9.5,0.003012017848548567
-15.697478991596638,-9.1923076923076916,0.0055454585331038411
-15.697478991596638,-8.884615384615385,0.010177514894393121
-15.697478991596638,-8.5769230769230766,0.018586996453412791
-15.697478991596638,-8.2692307692307701,0.033694257040381995
-15.697478991596638,-7.9615384615384617,0.060423809911751475
-15.697478991596638,-7.6538461538461542,0.10672455172050338
-15.697478991596638,-7.3461538461538458,0.18467576257323301
-15.697478991596638,-7.0384615384615383,0.31117579660507183
-15.697478991596638,-6.7307692307692308,0.50729591571348986
-15.697478991596638,-6.4230769230769234,0.79520983910321585
-15.697478991596638,-6.115384615384615,1.1922316482313096
-15.697478991596638,-5.8076923076923075,1.7032128429175255
-15.697478991596638,-5.5,2.3146177302145499
-15.697478991596638,-5.1923076923076925,2.994133143754282
-15.697478991596638,-4.884615384615385,3.6972872653554858
-15.697478991596638,-4.5769230769230766,4.3784610440280769
-15.697478991596638,-4.2692307692307692,5.0011635200111924
-15.697478991596638,-3.9615384615384617,5.5435127355187124
-15.697478991596638,-3.6538461538461537,5.9981739758077044
-15.697478991596638,-3.3461538461538463,6.3687047365440428
-15.697478991596638,-3.0384615384615383,6.6649046428750456
-15.697478991596638,-2.7307692307692308,6.8989262939540978
-15.697478991596638,-2.4230769230769229,7.0827617330924326
-15.697478991596638,-2.1153846153846154,7.2269751060850211
-15.697478991596638,-1.8076923076923077,7.3402836703182182
-15.697478991596638,-1.5,7.4296062227665347
-15.697478991596638,-1.1923076923076923,7.5003135647667696
-15.697478991596638,-0.88461538461538458,7.5565293031955179
-15.697478991596638,-0.57692307692307687,7.601408931178697
-15.697478991596638,-0.26923076923076922,7.6373713422916758
-15.697478991596638,0.038461538461538464,7.6662798702242316
-15.697478991596638,0.34615384615384615,7.6895793551916798
-15.697478991596638,0.65384615384615385,7.7083982671732567
-15.697478991596638,0.96153846153846156,7.7236244865962682
-15.697478991596638,1.2692307692307692,7.7359619802450261
-15.697478991596638,1.5769230769230769,7.7459741933346056
-15.697478991596638,1.8846153846153846,7.7541184777647238
-15.697478991596638,2.1923076923076925,7.7607737800781198
-15.697478991596638,2.5,7.7662603576776013
-15.546218487394958,-9.5,0.0030120178399686069
-15.546218487394958,-9.1923076923076916,0.0055454585178171074
-15.546218487394958,-8.884615384615385,0.010177514866951492
-15.546218487394958,-8.5769230769230766,0.018586996404236288
-15.546218487394958,-8.2692307692307701,0.033694256953000504
-15.546218487394958,-7.9615384615384617,0.060423809758822285
-15.546218487394958,-7.6538461538461542,0.1067245514591091
-15.546218487394958,-7.3461538461538458,0.18467576214020512
-15.546218487394958,-7.0384615384615383,0.31117579591649003
-15.546218487394958,-6.7307692307692308,0.50729591467162605
-15.546218487394958,-6.4230769230769234,0.79520983761620112
-15.546218487394958,-6.115384615384615,1.1922316462473741
-15.546218487394958,-5.8076923076923075,1.70321284045301
-15.546218487394958,-5.5,2.3146177273736552
-15.546218487394958,-5.1923076923076925,2.994133140714728
-15.546218487394958,-4.884615384615385,3.6972872623281789
-15.546218487394958,-4.5769230769230766,4.3784610412105787
-15.546218487394958,-4.2692307692307692,5.0011635175548452
-15.546218487394958,-3.9615384615384617,5.5435127335233334
-15.546218487394958,-3.6538461538461537,5.9981739743501281
-15.546218487394958,-3.3461538461538463,6.3687047357015416
-15.546218487394958,-3.0384615384615383,6.6649046428685965
-15.546218487394958,-2.7307692307692308,6.8989262951349177
-15.546218487394958,-2.4230769230769229,7.0827617362577202
-15.546218487394958,-2.1153846153846154,7.2269751127261115
-15.546218487394958,-1.8076923076923077,7.3402836830544818
