x,F
0.00016257556664437935,7.7609696525397052
0.00017834308769319092,7.7591481888802258
0.00019563983435170649,7.7572093834415572
0.00021461411978584036,7.7551456106778307
0.00023542864143224178,7.752948738818918
0.00025826187606826749,7.750610094590737
0.00028330961018393239,7.748120425226789
0.00031078661877820138,7.7454698575288754
0.00034092850697468109,7.7426478537095011
0.00037399373024787978,7.7396431637199754
0.00041026581058271948,7.7364437737363936
0.00045005576757004977,7.733036850440163
0.00049370478528390038,7.7294086806902644
0.00054158713780794708,7.7255446061399411
0.00059411339849650333,7.721428952301558
0.00065173396048824269,7.7170449515082176
0.00071494289865975771,7.7123746591600604
0.00078428220613376812,7.7073988625751948
0.00086034644166845008,7.7020969816904605
0.00094378782777753811,7.6964469607743
0.0010353218432956625,7.6904251502228211
0.0011357333583431051,7.6840061774098629
0.0012458833642950082,7.6771628054523831
0.001366716356462006,7.6698657786330626
0.0014992684327860455,7.6620836530930232
0.0016446761779946644,7.6537826112685172
0.0018041864093920718,7.6449262583974367
0.0019791668678535573,7.6354753992648545
0.0021711179456945029,7.6253877931936032
0.0023816855519761581,7.6146178851179869
0.0026126752255633289,7.6031165104097838
0.0028660676169482502,7.5908305709601693
0.0031440354715915001,7.5777026798653404
0.0034489622604057598,7.5636707719257519
0.0037834626171319289,7.5486676770596599
0.0041504047578504767,7.5326206536648987
0.0045529350748669479,7.5154508789560603
0.0049945051158551404,7.4970728933794435
0.0054789011795939452,7.4773939963925784
0.0060102767820703817,7.4563135912226812
0.0065931882713335483,7.4337224767300611
0.0072326338964835337,7.4095020852481888
0.0079340966657974916,7.3835236663115449
0.0087035913614851666,7.355647417586308
0.0095477161142080557,7.325721566170567
0.010473708979594498,7.2935814058263508
0.011489510001873092,7.2590482987552418
0.012603829296797275,7.2219286543562644
0.013826221737646556,7.182012902144451
0.015167168884709226,7.1390744818061318
0.01663816886076129,7.0928688803716256
0.018251834943190434,7.0431327548434419
0.020022003718155844,6.9895831884582904
0.021963853724165459,6.9319171401819757
0.024094035602395258,6.8698111600794523
0.026430814869741057,6.8029214578233619
0.028994228538828767,6.7308844276313851
0.031806256927941194,6.6533177500074423
0.034891012134067721,6.5698222082172713
0.038274944785163134,6.479984374560015
0.041987070844439103,6.3833803369210882
0.046059220411451059,6.27958064805558
0.050526310653356797,6.1681566862597546
0.055426645206631042,6.0486886136433311
0.060802242616494237,5.9207751036041927
0.066699196630301216,5.784044978249872
0.073168071434271953,5.6381708449110164
0.080264335222571745,5.4828847439317778
0.088048835816434648,5.3179957133326061
0.096588322411587033,5.1434090365002625
0.10595601792776159,4.9591467655304973
0.11623224686798524,4.7653689071437411
0.12750512407130132,4.5623944266086012
0.13987131026472382,4.3507209800726931
0.15343684089300125,4.1310420463161082
0.16831803533309567,3.9042599219532792
0.1846424942895544,3.671492903375138
0.2025501939230667,3.43407494332937
0.22219468609395232,3.1935461805129264
0.24374441501222205,2.9516330330286862
0.26738416158399464,2.7102170450501055
0.29331662783900447,2.4712923836480969
0.3217641750250736,2.2369127732682754
0.35297073027306497,2.0091296674389145
0.38720387818125551,1.7899244934960357
0.4247571552536899,1.5811387391636613
0.46595256686646808,1.3844063372120559
0.51114334834401676,1.2010931105929519
0.56071699382054585,1.0322478636290433
0.61509857885805019,0.878569002979394
0.67475440531106945,0.74038938147165012
0.74019599969156424,0.61768049784931756
0.81198449931840122,0.51007544582252484
0.89073546386104396,0.41690831712834192
0.97712415353464976,0.33726635581898295
1.0718913192051278,0.27005022110891164
1.1758495540521567,0.21403735137739302
1.2898902612533087,0.16794364315710147
1.414991297434576,0.13047938360316055
1.5522253574270475,0.10039644998524368
1.7027691722259,0.07652502700632037
1.8679135990207825,0.057799307202751428
2.0490746898158472,0.043272681393835631
2.2478058335487257,0.032123699688898069
2.4658110758226028,0.02365455288489475
2.704959730463135,0.017284004985344679
2.967302408188869,0.012536652207562468
3.2550885998350583,0.0090301627039209836
3.5707859649004625,0.0064618368703058902
3.9171014908092596,0.0045954834853231706
4.297004704320841,0.0032492789807408886
4.7137531341167236,0.0022849953272029359
5.1709202428967576,0.0015987600950384585
5.6724260684919789,0.0011133519875100248
6.2225708367302301,0.00077193048641621643
6.8260718342723878,0.00053303906881224064
7.4881038575900227,0.00036669642445958251
8.2143435849194262,0.00025138859673009656
9.0110182516650212,0.00017178806658156478
9.8849590466255837,0.00011704665155041839
10.843659686896103,7.9532853712202165e-05
11.895340673703195,5.3907822503558328e-05
13.049019780144022,3.6455585108048562e-05
14.314589375234785,2.4601773164519645e-05
15.702901247293775,1.6570502329634434e-05
17.225859653987865,1.114148112242877e-05
18.896523396912098,7.4791758828941634e-06
20.729217795953709,5.0133558686133685e-06
22.739657523579286,3.356006981239626e-06
24.945081352303166,2.2438186493595263e-06
27.364399970746707,1.4985459182922681e-06
30.018358135755889,9.9979894812487229e-07
32.929712550971495,6.6643055763925405e-07
36.12342699709432,4.4384636783493959e-07
39.626886387014785,2.9537845755836963e-07
43.470131581250243,1.9643701890729001e-07
47.686116977144692,1.3055502275335951e-07
52.310993080562611,8.671905261598388e-08
57.384416483023955,5.7571679692210433e-08
62.949889902218878,3.8202996902945612e-08
69.055135201623273,2.5339555386180056e-08
75.752502587719121,1.6800830254045925e-08
83.099419493533958,1.1135463975153573e-08
91.158882997508229,7.3781234779776434e-09
100,4.8871589961302229e-09
