M_1e14,z,Ez,rho_crit_kgm3,dA_Mpc,R500_Mpc,theta500_rad
1.448139323,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,0.41170415952072875,0.00022964007701004117
1.448139323,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.34930419725170558,0.00019717135251960221
2,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,0.79804464182688883,0.0038271652245129282
2,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,0.7682413263015252,0.0012964315131652579
2,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,0.72992155361912714,0.00076952118169324824
2,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,0.67469783893275503,0.00051969007530467683
2,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,0.62064343170775516,0.00040730386131768138
2,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,0.55205236105809308,0.00032487453380641976
2,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,0.45848500646832047,0.00025573346616515597
2,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.38899470270787084,0.00021957540739739846
5,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,1.0831132173020397,0.0051942409998362495
5,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,1.0426638949545479,0.0017595274389921641
5,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,0.99065596193804129,0.0010444007523825439
5,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,0.91570584993879156,0.00070532789432213615
5,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,0.8423427323257241,0.0005527963624943589
5,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,0.74925032706944994,0.00044092256581211521
5,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,0.6222598892511193,0.00034708370648477811
5,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.52794703689617151,0.00029800967297254359
10,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,1.3646371418982002,0.0065442990025489567
10,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,1.3136741892186119,0.0022168643144242976
10,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,1.2481482996495925,0.0013158622114193285
10,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,1.1537170758497595,0.00088865737457197278
10,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,1.0612853396831425,0.00069647973173920076
10,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,0.94399625871541848,0.00055552760089358673
10,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,0.78399833297273791,0.00043729805756093809
10,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.66517158501511175,0.0003754686535213771
30,0.050000000000000003,1.024117471933953,9.0185791010224765e-27,208.52006606356451,1.9681473315282088,0.0094383668951523794
30,0.16156816444446229,1.0842865137203821,1.0109430245483251e-26,592.58116460199869,1.8946460349244758,0.0031972659478304586
30,0.29999999999999999,1.1707826354847204,1.1786669687785369e-26,948.5397243199111,1.800141348849547,0.0018978005259420246
30,0.5,1.3174270486067099,1.4924222651405658e-26,1298.2695076424238,1.6639479569006355,0.0012816653522260872
30,0.70656463958054339,1.4932320716361454,1.9173137468127273e-26,1523.7847129144509,1.5306383251315638,0.0010044974183994766
30,1,1.7800005932805107,2.724450125205874e-26,1699.2785958569484,1.3614781985041133,0.00080120935466148268
30,1.5,2.3518133312450207,4.7560264749804594e-26,1792.8236118197844,1.1307212588516555,0.00063069289219158957
30,2,3.0093660954008139,7.7873306517746948e-26,1771.5767948104883,0.95934343266874256,0.00054151947671998778
